GPU,Datetime,Input Voltage L1 (V),Input Voltage L2 (V),Input Voltage L3 (V),Input Voltage THD L1 (%),Input Voltage THD L2 (%),Input Voltage THD L3 (%),Input Frequency (Hz),Input Current L1 (A),Input Current L2 (A),Input Current L3 (A),Input Current THD L1 (%),Input Current THD L2 (%),Input Current THD L3 (%),Input Percent Load Total (%),Input Percent Load L1 (%),Input Percent Load L2 (%),Input Percent Load L3 (%),Input Crest Factor L1,Input Crest Factor L2,Input Crest Factor L3,Input Active Power Total (W),Input Active Power L1 (W),Input Active Power L2 (W),Input Active Power L3 (W),Input Apparent Power Total (VA),Input Apparent Power L1 (VA),Input Apparent Power L2 (VA),Input Apparent Power L3 (VA),Input Reactive Power total (VAR),Input Reactive Power L1 (VAR),Input Reactive Power L2 (VAR),Input Reactive Power L3 (VAR),Input Power Factor Total,Input Power Factor L1,Input Power Factor L2,Input Power Factor L3,Input Partial Energy Total (Wh),Input Partial Energy L1 (Wh),Input Partial Energy L2 (Wh),Input Partial Energy L3 (Wh),Input Cumulated Energy Total (Wh),Input Cumulated Energy L1 (Wh),Input Cumulated Energy L2 (Wh),Input Cumulated Energy L3 (Wh),Neutral Input Current (A)
101_J37_voie1,2025-12-03T10:03:08.000000+00:00,230.3,228.2,228.2,2.2,1.7,2.2,50.0,0.7,2.7,2.8,32.0,10.0,6.6,6.5,2.3,8.5,8.7,1.8,1.6,1.6,1373.7,135.6,609.2,628.9,1400.1,170.3,619.2,632.3,-270.4,-88.2,-94.1,-88.1,1.0,0.8,1.0,1.0,10173104.0,1017582.1,4557424.0,4598098.0,10173104.0,1017582.1,4557424.0,4598098.0,2.1
101_J37_voie1,2025-12-03T10:08:08.000000+00:00,230.3,228.2,228.2,1.8,2.1,2.2,50.0,0.7,2.7,2.8,31.9,10.3,6.5,6.5,2.3,8.4,8.6,1.8,1.6,1.6,1366.1,136.2,606.4,623.6,1392.4,170.5,620.5,628.6,-269.3,-87.9,-93.7,-87.7,1.0,0.8,1.0,1.0,10173218.0,1017593.1,4557475.0,4598150.0,10173218.0,1017593.1,4557475.0,4598150.0,2.1
101_J37_voie1,2025-12-03T10:13:08.000000+00:00,230.4,228.1,228.1,2.2,1.9,2.1,50.0,0.7,2.7,2.8,32.1,10.1,6.5,6.5,2.3,8.4,8.7,1.8,1.5,1.6,1367.9,135.6,606.3,626.0,1394.1,170.8,619.1,632.8,-269.1,-89.3,-94.4,-85.4,1.0,0.8,1.0,1.0,10173333.0,1017605.1,4557526.0,4598202.0,10173333.0,1017605.1,4557526.0,4598202.0,2.0
101_J37_voie1,2025-12-03T10:18:08.000000+00:00,230.5,227.8,228.0,1.8,2.2,2.0,49.9,0.7,4.1,4.1,32.3,13.6,9.3,9.4,2.3,12.9,12.9,1.8,1.6,1.6,2003.1,136.3,929.2,937.6,2022.5,170.9,926.9,943.5,-279.5,-88.2,-98.0,-93.2,1.0,0.8,1.0,1.0,10173453.0,1017616.1,4557580.0,4598257.0,10173453.0,1017616.1,4557580.0,4598257.0,3.5
101_J37_voie1,2025-12-03T10:23:08.000000+00:00,230.6,227.8,228.0,1.8,2.2,2.0,50.0,0.7,3.9,4.3,31.7,9.5,7.0,9.3,2.3,12.2,13.4,1.8,1.5,1.6,1984.7,136.0,880.8,967.9,2004.6,171.2,953.6,974.7,-281.8,-88.3,-98.2,-95.2,1.0,0.8,1.0,1.0,10173601.0,1017627.1,4557648.0,4598326.0,10173601.0,1017627.1,4557648.0,4598326.0,3.5
101_J37_voie1,2025-12-03T10:28:08.000000+00:00,230.5,227.7,228.1,2.3,1.8,2.2,50.0,0.7,4.2,4.1,32.1,8.2,6.7,9.4,2.3,13.2,12.7,1.8,1.6,1.5,2015.2,137.1,953.7,924.4,2034.2,172.1,941.4,932.1,-276.9,-88.5,-96.1,-92.2,1.0,0.8,1.0,1.0,10173727.0,1017639.1,4557705.0,4598383.0,10173727.0,1017639.1,4557705.0,4598383.0,3.4
101_J37_voie1,2025-12-03T10:33:08.000000+00:00,230.3,228.1,228.3,2.0,1.9,2.1,50.0,0.7,2.7,2.8,31.7,9.3,7.0,6.5,2.3,8.4,8.7,1.8,1.6,1.6,1372.7,137.1,605.2,630.4,1398.9,171.9,615.2,638.0,-269.7,-87.9,-93.7,-88.1,1.0,0.8,1.0,1.0,10173860.0,1017650.1,4557765.0,4598445.0,10173860.0,1017650.1,4557765.0,4598445.0,2.1
101_J37_voie1,2025-12-03T10:38:08.000000+00:00,230.4,228.2,228.2,2.0,1.9,2.0,50.0,0.7,2.7,2.8,31.7,11.1,6.4,6.5,2.3,8.6,8.7,1.8,1.6,1.6,1380.4,137.1,615.8,627.5,1406.7,171.5,627.0,635.0,-270.8,-88.3,-95.2,-87.3,1.0,0.8,1.0,1.0,10173975.0,1017662.1,4557816.0,4598497.0,10173975.0,1017662.1,4557816.0,4598497.0,2.1
101_J37_voie1,2025-12-03T10:43:08.000000+00:00,230.4,228.1,228.2,1.9,2.1,2.1,50.0,0.7,2.8,2.8,31.8,10.3,7.3,6.5,2.3,8.6,8.7,1.8,1.6,1.6,1383.9,136.8,618.2,628.8,1410.2,171.2,622.6,636.3,-271.0,-88.4,-95.5,-87.1,1.0,0.8,1.0,1.0,10174089.0,1017673.1,4557867.0,4598549.0,10174089.0,1017673.1,4557867.0,4598549.0,2.1
101_J37_voie1,2025-12-03T10:48:08.000000+00:00,230.3,228.0,228.3,2.2,1.9,2.2,50.0,0.7,2.7,2.8,31.3,11.0,6.3,6.5,2.3,8.6,8.7,1.8,1.6,1.6,1380.7,137.1,615.8,627.8,1406.8,171.9,628.1,633.7,-270.0,-88.2,-95.2,-86.7,1.0,0.8,1.0,1.0,10174203.0,1017684.1,4557918.0,4598601.0,10174203.0,1017684.1,4557918.0,4598601.0,2.1
101_J37_voie1,2025-12-03T10:53:08.000000+00:00,230.5,227.8,228.1,2.2,1.7,2.4,50.0,0.8,3.9,4.0,32.2,12.5,6.1,9.1,2.4,12.3,12.6,1.8,1.5,1.6,1942.8,139.5,889.8,913.6,1962.9,173.3,896.6,919.7,-279.9,-89.2,-98.1,-92.6,1.0,0.8,1.0,1.0,10174324.0,1017696.1,4557972.0,4598656.0,10174324.0,1017696.1,4557972.0,4598656.0,3.3
101_J37_voie1,2025-12-03T10:58:08.000000+00:00,230.4,228.1,228.2,1.8,2.1,2.1,50.0,0.8,2.8,2.8,31.6,10.9,8.1,6.6,2.4,8.6,8.8,1.8,1.6,1.6,1390.4,139.2,619.1,632.2,1416.5,173.6,629.2,638.0,-270.5,-88.6,-95.1,-86.8,1.0,0.8,1.0,1.0,10174457.0,1017708.1,4558032.0,4598717.0,10174457.0,1017708.1,4558032.0,4598717.0,2.1
