Date,Team,Team ID,Model,Spend ($),Requests,Successful,Failed,Total Tokens
2026-02-01,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,0.1382,23040,23040,0,138240
2026-02-02,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,0.1381,23023,23023,0,138138
2026-02-03,Unassigned,Unassigned,gptoss20b,24.1244,82572,82572,0,24124371
2026-02-03,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,24.1244,82572,82572,0,24124371
2026-02-03,Unassigned,Unassigned,gptoss120b,24.1244,82572,82572,0,24124371
2026-02-03,Unassigned,Unassigned,qwen3vl32binstruct,24.1244,82572,82572,0,24124371
2026-02-03,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,24.1244,82572,82572,0,24124371
2026-02-03,Unassigned,Unassigned,Llama-3-3-70B-128k,24.1244,82572,82572,0,24124371
2026-02-03,default_user_id,default_user_id,gptoss20b,0.0007,57,57,0,737
2026-02-03,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,0.0007,57,57,0,737
2026-02-03,default_user_id,default_user_id,gptoss120b,0.0007,57,57,0,737
2026-02-03,default_user_id,default_user_id,qwen3vl32binstruct,0.0007,57,57,0,737
2026-02-03,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0007,57,57,0,737
2026-02-03,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0007,57,57,0,737
2026-02-04,Unassigned,Unassigned,gptoss20b,7.7685,81058,81058,0,7768534
2026-02-04,Unassigned,Unassigned,qwen3vl32binstruct,7.7685,81058,81058,0,7768534
2026-02-04,Unassigned,Unassigned,Llama-3-3-70B-128k,7.7685,81058,81058,0,7768534
2026-02-04,Unassigned,Unassigned,gptoss120b,7.7685,81058,81058,0,7768534
2026-02-04,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,7.7685,81058,81058,0,7768534
2026-02-04,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,7.7685,81058,81058,0,7768534
2026-02-04,default_user_id,default_user_id,gptoss20b,29.8136,287250,287250,0,29813613
2026-02-04,default_user_id,default_user_id,qwen3vl32binstruct,29.8136,287250,287250,0,29813613
2026-02-04,default_user_id,default_user_id,Llama-3-3-70B-128k,29.8136,287250,287250,0,29813613
2026-02-04,default_user_id,default_user_id,gptoss120b,29.8136,287250,287250,0,29813613
2026-02-04,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,29.8136,287250,287250,0,29813613
2026-02-04,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,29.8136,287250,287250,0,29813613
2026-02-05,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,35.5011,395942,395942,0,35501116
2026-02-05,default_user_id,default_user_id,gptoss120b,35.5011,395942,395942,0,35501116
2026-02-05,default_user_id,default_user_id,gptoss20b,35.5011,395942,395942,0,35501116
2026-02-05,default_user_id,default_user_id,qwen3vl32binstruct,35.5011,395942,395942,0,35501116
2026-02-05,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,35.5011,395942,395942,0,35501116
2026-02-05,default_user_id,default_user_id,Llama-3-3-70B-128k,35.5011,395942,395942,0,35501116
2026-02-05,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,0.1653,23464,23464,0,165323
2026-02-05,Unassigned,Unassigned,gptoss120b,0.1653,23464,23464,0,165323
2026-02-05,Unassigned,Unassigned,gptoss20b,0.1653,23464,23464,0,165323
2026-02-05,Unassigned,Unassigned,qwen3vl32binstruct,0.1653,23464,23464,0,165323
