Date,Team,Team ID,Model,Spend ($),Requests,Successful,Failed,Total Tokens
2025-10-02,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0006,8,8,0,624
2025-10-02,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0006,8,8,0,624
2025-10-02,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0006,8,8,0,624
2025-10-02,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0006,8,8,0,624
2025-10-03,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0004,4,4,0,396
2025-10-03,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,0.0004,4,4,0,396
2025-10-03,default_user_id,default_user_id,dgfip-e5-large,0.0004,4,4,0,396
2025-10-03,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0004,4,4,0,396
2025-10-03,default_user_id,default_user_id,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0004,4,4,0,396
2025-10-03,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0004,4,4,0,396
2025-10-03,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0007,12,12,0,689
2025-10-03,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,0.0007,12,12,0,689
2025-10-03,Unassigned,Unassigned,dgfip-e5-large,0.0007,12,12,0,689
2025-10-03,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0007,12,12,0,689
2025-10-03,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0007,12,12,0,689
2025-10-03,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0007,12,12,0,689
2025-10-06,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0001,1,1,0,125
2025-10-06,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0001,1,1,0,125
2025-10-06,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0001,1,1,0,125
2025-10-06,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,0.0001,1,1,0,125
2025-10-06,default_user_id,default_user_id,dgfip-e5-large,0.0001,1,1,0,125
2025-10-06,default_user_id,default_user_id,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0001,1,1,0,125
2025-10-06,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0003,6,6,0,314
2025-10-06,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0003,6,6,0,314
2025-10-06,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0003,6,6,0,314
2025-10-06,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,0.0003,6,6,0,314
2025-10-06,Unassigned,Unassigned,dgfip-e5-large,0.0003,6,6,0,314
2025-10-06,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0003,6,6,0,314
2025-10-07,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0001,1,1,0,125
2025-10-13,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0013,12,12,0,1344
2025-10-13,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0013,12,12,0,1344
2025-10-14,Unassigned,Unassigned,Llama-3-3-70B-128k,0.8093,1458,1458,0,809282
2025-10-14,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.8093,1458,1458,0,809282
2025-10-15,Unassigned,Unassigned,Llama-3-3-70B-128k,22.6564,30412,30412,0,22656398
2025-10-15,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,22.6564,30412,30412,0,22656398
2025-10-16,Unassigned,Unassigned,Llama-3-3-70B-128k,6.3849,21782,21782,0,6384858
2025-10-17,Unassigned,Unassigned,Llama-3-3-70B-128k,52.5462,128229,128229,0,52546219
2025-10-17,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,52.5462,128229,128229,0,52546219
2025-10-21,Unassigned,Unassigned,Llama-3-3-70B-128k,22.5479,55005,55005,0,22547912
2025-10-22,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0373,31,31,0,37329
2025-10-22,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,0.0373,31,31,0,37329
2025-10-22,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0000,1,1,0,9
2025-10-22,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,0.0000,1,1,0,9
2025-10-23,Unassigned,Unassigned,Llama-3-3-70B-128k,46.5027,99701,99701,0,46502718
2025-10-23,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,46.5027,99701,99701,0,46502718
2025-10-24,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0387,23,23,0,38650
2025-10-26,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0669,17,17,0,66857
2025-10-27,Unassigned,Unassigned,Llama-3-3-70B-128k,0.5529,224,224,0,552855
2025-10-28,default_user_id,default_user_id,Llama-3-3-70B-128k,0.3527,39,39,0,352671
2025-10-28,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.3527,39,39,0,352671
2025-10-28,default_user_id,default_user_id,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.3527,39,39,0,352671
2025-10-28,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0024,2,2,0,2380
2025-10-28,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0024,2,2,0,2380
2025-10-28,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0024,2,2,0,2380
2025-10-29,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,9.5379,1549,1549,0,9537862
2025-10-29,Unassigned,Unassigned,Llama-3-3-70B-128k,9.5379,1549,1549,0,9537862
2025-10-29,Unassigned,Unassigned,dgfip-e5-large,9.5379,1549,1549,0,9537862
2025-10-29,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,9.5379,1549,1549,0,9537862
2025-10-29,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,9.5379,1549,1549,0,9537862
2025-10-29,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,9.5379,1549,1549,0,9537862
2025-10-30,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,2.1467,394,394,0,2146702
2025-10-30,Unassigned,Unassigned,Llama-3-3-70B-128k,2.1467,394,394,0,2146702
2025-11-04,Unassigned,Unassigned,Llama-3-3-70B-128k,2.3829,211,211,0,2382937
2025-11-04,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,2.3829,211,211,0,2382937
2025-11-05,Unassigned,Unassigned,Llama-3-3-70B-128k,3.5953,504,504,0,3595325
2025-11-05,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,3.5953,504,504,0,3595325
2025-11-06,Unassigned,Unassigned,Llama-3-3-70B-128k,0.0110,9,9,0,11021
2025-11-07,Unassigned,Unassigned,Llama-3-3-70B-128k,11.7560,4623,4623,0,11755951
2025-11-07,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,11.7560,4623,4623,0,11755951
2025-11-08,Unassigned,Unassigned,Llama-3-3-70B-128k,0.7244,145,145,0,724358
2025-11-09,Unassigned,Unassigned,Llama-3-3-70B-128k,1.3793,394,394,0,1379323
2025-11-10,Unassigned,Unassigned,Llama-3-3-70B-128k,2.8199,786,786,0,2819936
2025-11-13,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0003,2,2,0,250
2025-11-14,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0001,1,1,0,125
2025-11-14,Unassigned,Unassigned,Llama-3-3-70B-128k,3.5794,6871,6871,0,3579409
2025-11-24,Unassigned,Unassigned,Llama-3-3-70B-128k,0.6216,184,184,0,621647
2025-11-25,Unassigned,Unassigned,Llama-3-3-70B-128k,9.3464,3241,3241,0,9346364
2025-11-25,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,9.3464,3241,3241,0,9346364
2025-11-26,Unassigned,Unassigned,Llama-3-3-70B-128k,8.2707,2426,2426,0,8270682
2025-11-26,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,8.2707,2426,2426,0,8270682
2025-11-27,Unassigned,Unassigned,Llama-3-3-70B-128k,6.0265,1724,1724,0,6026460
2025-11-27,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,6.0265,1724,1724,0,6026460
2025-11-28,Unassigned,Unassigned,Llama-3-3-70B-128k,6.2391,1739,1739,0,6239132
2025-11-28,Unassigned,Unassigned,dgfip-e5-large,6.2391,1739,1739,0,6239132
2025-11-28,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,6.2391,1739,1739,0,6239132
2025-11-28,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,6.2391,1739,1739,0,6239132
2025-11-28,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,6.2391,1739,1739,0,6239132
2025-11-28,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,6.2391,1739,1739,0,6239132
2025-11-29,Unassigned,Unassigned,Llama-3-3-70B-128k,0.1382,37,37,0,138160
2025-11-30,Unassigned,Unassigned,Llama-3-3-70B-128k,1.4004,243,243,0,1400426
2025-12-01,Unassigned,Unassigned,Llama-3-3-70B-128k,3.5660,1058,1058,0,3566037
2025-12-02,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,6.6616,1971,1971,0,6661630
2025-12-02,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,6.6616,1971,1971,0,6661630
2025-12-02,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,6.6616,1971,1971,0,6661630
2025-12-02,Unassigned,Unassigned,dgfip-e5-large,6.6616,1971,1971,0,6661630
2025-12-02,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,6.6616,1971,1971,0,6661630
2025-12-02,Unassigned,Unassigned,Llama-3-3-70B-128k,6.6616,1971,1971,0,6661630
2025-12-02,default_user_id,default_user_id,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0001,7,7,0,87
2025-12-02,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,0.0001,7,7,0,87
2025-12-02,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0001,7,7,0,87
2025-12-02,default_user_id,default_user_id,dgfip-e5-large,0.0001,7,7,0,87
2025-12-02,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0001,7,7,0,87
2025-12-02,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0001,7,7,0,87
2025-12-03,Unassigned,Unassigned,Llama-3-3-70B-128k,13.3516,7385,7385,0,13351563
2025-12-03,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,13.3516,7385,7385,0,13351563
2025-12-04,Unassigned,Unassigned,Llama-3-3-70B-128k,6.9684,2066,2066,0,6968366
2025-12-05,Unassigned,Unassigned,Llama-3-3-70B-128k,6.3769,1822,1822,0,6376870
2025-12-06,Unassigned,Unassigned,Llama-3-3-70B-128k,2.4647,365,365,0,2464653
2025-12-07,Unassigned,Unassigned,Llama-3-3-70B-128k,1.5364,226,226,0,1536444
2025-12-08,Unassigned,Unassigned,Llama-3-3-70B-128k,6.0830,1532,1532,0,6082956
2025-12-09,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,4.4352,3817,3817,0,4435188
2025-12-09,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,4.4352,3817,3817,0,4435188
2025-12-09,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,4.4352,3817,3817,0,4435188
2025-12-09,Unassigned,Unassigned,dgfip-e5-large,4.4352,3817,3817,0,4435188
2025-12-09,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,4.4352,3817,3817,0,4435188
2025-12-09,Unassigned,Unassigned,Llama-3-3-70B-128k,4.4352,3817,3817,0,4435188
2025-12-10,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,5.0605,6524,6524,0,5060548
2025-12-10,Unassigned,Unassigned,Llama-3-3-70B-128k,5.0605,6524,6524,0,5060548
2025-12-10,Unassigned,Unassigned,gptoss20b,5.0605,6524,6524,0,5060548
2025-12-10,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,5.0605,6524,6524,0,5060548
2025-12-10,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,5.0605,6524,6524,0,5060548
2025-12-10,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,5.0605,6524,6524,0,5060548
2025-12-10,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0021,16,16,0,2085
2025-12-10,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0021,16,16,0,2085
2025-12-10,default_user_id,default_user_id,gptoss20b,0.0021,16,16,0,2085
2025-12-10,default_user_id,default_user_id,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0021,16,16,0,2085
2025-12-10,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,0.0021,16,16,0,2085
2025-12-10,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0021,16,16,0,2085
2025-12-11,Unassigned,Unassigned,Llama-3-3-70B-128k,8.0802,8527,8527,0,8080156
2025-12-11,Unassigned,Unassigned,gptoss20b,8.0802,8527,8527,0,8080156
2025-12-11,Unassigned,Unassigned,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,8.0802,8527,8527,0,8080156
2025-12-11,Unassigned,Unassigned,/model/deepdml-faster-whisper-large-v3-turbo-ct2,8.0802,8527,8527,0,8080156
2025-12-11,Unassigned,Unassigned,gte-Qwen2-1-5B-instruct,8.0802,8527,8527,0,8080156
2025-12-11,Unassigned,Unassigned,Mistral-Small-24B-Instruct-2501-FP8-dynamic,8.0802,8527,8527,0,8080156
2025-12-11,Unassigned,Unassigned,gptoss120b,8.0802,8527,8527,0,8080156
2025-12-11,default_user_id,default_user_id,Llama-3-3-70B-128k,0.0001,1,1,0,125
2025-12-11,default_user_id,default_user_id,gptoss20b,0.0001,1,1,0,125
2025-12-11,default_user_id,default_user_id,Qwen2.5-Coder-32B-Instruct-fp8-W8A16,0.0001,1,1,0,125
2025-12-11,default_user_id,default_user_id,/model/deepdml-faster-whisper-large-v3-turbo-ct2,0.0001,1,1,0,125
2025-12-11,default_user_id,default_user_id,gte-Qwen2-1-5B-instruct,0.0001,1,1,0,125
2025-12-11,default_user_id,default_user_id,Mistral-Small-24B-Instruct-2501-FP8-dynamic,0.0001,1,1,0,125
2025-12-11,default_user_id,default_user_id,gptoss120b,0.0001,1,1,0,125
